driverId,name,ssn,location,certified,wage-plan
10,Taylor Alvarez,245-74-5361,"Unit 5965 Box 8857
DPO AP 87405",Y,miles
11,Mr. Darrell Rodriguez,687-38-7888,"388 Mark Creek
Connieland, WI 12691",Y,hours
12,Justin Rowe,766-49-8957,"4843 Torres Courts Apt. 255
Dominguezmouth, MI 55308",Y,hours
13,Mary Jones,864-58-5997,"281 Jason Mall Apt. 536
Collinsfurt, PR 31480",N,miles
14,Jeanette Cox,704-98-9117,"95635 Whitaker Spurs Apt. 567
North Katrina, MD 33005",Y,miles
15,Brittany Green,828-94-9633,"5827 Whitney Mission Suite 254
Lopezland, IL 25125",Y,hours
16,Nathaniel Lara,203-33-4206,"9357 Anthony Turnpike
New Logantown, PW 85220",Y,hours
17,Sandra Kemp,354-98-0117,"66136 Steven Vista Apt. 986
Lake Dennisburgh, IN 19165",N,hours
18,Cody Harper,048-03-3219,"17401 Elizabeth Meadow
Olsonburgh, AK 98410",N,miles
19,John Warner,133-14-1605,"7124 Jason Path Apt. 850
Johnsonmouth, SD 09753",N,miles
20,Mark Richardson,274-58-3554,"17419 Reid Ridge
Davisburgh, DC 43465",N,hours
21,Darlene Villa,773-47-9643,"32078 Hogan Club Suite 488
Port Lisahaven, MA 07579",Y,miles
22,Danielle Olson,489-81-9778,"368 Waller Crest
West Amanda, AK 27700",Y,hours
23,Philip Hester,135-38-2821,"28516 Katherine Island
Dustinmouth, NJ 46619",Y,hours
24,Matthew Wood,085-22-2147,"34781 Knight Trail
Wallaceland, MS 72011",N,hours
25,Howard Rodriguez,079-47-7329,"Unit 5797 Box 8771
DPO AE 68954",N,miles
26,Jessica Dawson,808-99-5788,"799 Tiffany Freeway Suite 572
North Brentfort, NY 46844",N,hours
27,Linda Johnson,784-24-1868,"2279 John Street
Lake David, PW 56127",Y,hours
28,Richard Snyder,299-63-8711,"5729 Luna Shoals Suite 980
Johnfurt, IL 52364",N,hours
29,Lynn Hopkins,793-24-8552,"4570 Judith Rapid Suite 672
East John, MN 69708",N,miles
30,Kristin Palmer,202-93-3232,"912 Allison Field Suite 884
East Garrett, TN 44662",Y,hours
31,Martin Rogers,876-10-2372,"35487 Stephanie Spring Suite 656
Jillfort, OK 46054",Y,hours
32,Alyssa Rodriguez,545-77-1075,"6210 Martin Freeway
Lisaview, CO 71222",N,miles
33,Billy Newton,242-50-1541,"4382 Melissa Forks
Friedmanborough, CO 64427",N,miles
34,Nicholas Berg,321-84-0197,"92516 Franco Meadow
Christinaside, WI 28281",Y,miles
35,Christopher Brown,160-34-7259,"1259 Walker Land Suite 164
South Barbaraburgh, KS 63724",Y,hours
36,Roger Walter,750-75-9133,"7901 Wilkins Brooks
Thompsonport, MT 28686",Y,miles
37,Crystal Pierce,333-80-2920,"462 Megan Passage
East Juliechester, WI 80097",Y,miles
38,Cynthia Warren,328-87-1721,"31355 Anderson Isle Apt. 328
South Paul, GA 55375",Y,hours
39,Joanne Martinez,215-91-9752,"936 April Vista
West Bonnie, MS 40436",N,hours
40,Thomas Lutz,667-71-7298,"1249 Carrie Port Suite 533
Kathleenmouth, FL 10287",N,miles
41,James Austin,502-77-6617,"57545 Kimberly Corners Apt. 522
Normanview, MO 15788",Y,miles
42,Michael Craig,394-43-4450,"5311 Brian Mill
Austinville, RI 66070",N,miles
43,Mr. Brad Nolan PhD,360-19-8293,"67135 Garcia Corners Apt. 813
Davidville, IA 34658",N,hours
44,Mia Lambert,758-65-0239,"5529 Miller Cove
Danielberg, AR 19140",N,miles
45,Justin Watson,620-67-0965,"164 Patricia Stravenue Suite 893
Hutchinsonstad, UT 96077",N,miles
46,Jennifer Padilla,240-15-6766,"91178 Matthew Path
North Bryan, TN 20140",N,hours
